Name ,Points won on serve,Total points served ,Games won on serve,Total games served ,Empirical probability of winning a rally on a serve =A/B,Empirical probability of winning a rally on a serve =C/D,"Theoretical probability of winning a game on serve, given by (5), with empirical probability of winning a rally on a serve from E"
S. Williams,240,349,52,57,0.69,0.91,0.89
V. Williams,270,428,56,70,0.63,0.8,0.79
L. Davenport,206,301,45,53,0.68,0.85,0.88
A. Mauresmo,287,457,58,75,0.63,0.77,0.79
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,