Name,Points won on serve,Total points served ,Games won on serve,Total games served ,Empirical probability of winning a rally on a serve =A/B,Empirical probability of winning a rally on a serve =C/D,"Theoretical probability of winning a game on serve, given by (5), with empirical probability of winning a rally on a serve from E"
P. Sampras,573,781,124,130,0.73,0.95,0.93
A. Agassi,443,676,96,110,0.66,0.87,0.85
L. Hewitt,436,654,91,107,0.67,0.85,0.86
S. Schalken,519,768,107,119,0.68,0.9,0.88
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,